,content
0,Our Darndale Community Call Out is happening today at 6.30pm at Darndale Belcamp Recreation Centre!! We hope to see you there! https://t.co/OE1E7Fo1fB
1,"Come join us on Wednesday 23rd February, 6.30pm at  
 at Darndale/Belcamp Recreation Centre to learn all about Creative Places Darndale! We look forward to seeing you there! 
#callout #community #creativeplacesdarndale https://t.co/5ypP2nDkSf"
2,"✨𝗗𝗮𝗿𝗻𝗱𝗮𝗹𝗲 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 𝗖𝗮𝗹𝗹 𝗢𝘂𝘁!✨
Are you interested in the Arts? 😍 
Would you like to learn what Creative Places Darndale has to offer?
Come and meet us at Darndale/Belcamp Recreation Centre on 𝗙𝗲𝗯𝗿𝘂𝗮𝗿𝘆 𝟮𝟯 𝗮𝘁 𝟲.𝟯𝟬𝗽𝗺 😀
#callout #community https://t.co/sBj4DT9T3k"
3,"Are you interested in the Arts or have a creative hobby? Come along and learn about what Creative Places Darndale has to offer!

Meet at the Darndale Belcamp Recreation Centre, Feb 23rd at 6:30 pm to learn more about us and this three-year project!

We want to hear from you! https://t.co/jNKCPCvDgA"
4,@cpdarndale in Darndale recreation centre today #itsallaboutthecommunity💙 @ Darndale/Belcamp Recreation Centre https://t.co/wy9hxgAiEN
5,Folks please check @cpdarndale page as they are moving into Darndale recreation centre for todays event #itsallaboutthecommunity💙 @ Darndale/Belcamp Recreation Centre https://t.co/GVFqGM2YmZ
6,Stilt walking &amp; arts class in Darndale sports &amp; recreation centre playground today #itsallaboutthecommunity💙 #funinthearts @ Darndale/Belcamp Recreation Centre https://t.co/6gZAgNtDiV
7,Darndale recreation centre the young people trying some stilt walking today  #itsallaboutthecommunity💙 @ Darndale/Belcamp Recreation Centre https://t.co/S386m4w4wM
