,content
0,"my congratulations! @BitDotCountry

Record BreakingHigh voltage signby total number of contributors on 
@kusamanetwork
.
Red circle50%+ users are first time crowdloan contributors. Split wallets were discouraged by the reward model. 
@gavofyork
https://t.co/6AXmAwwKjv"
1,"Record BreakingHigh voltage signby total number of contributors on @kusamanetwork
.Red circle50%+ users are first time crowdloan contributors. Split wallets were discouraged by the reward model. 
@gavofyork
RocketThemothership of perpetual metaversesistobebornforthewide 
@Polkado"
