,content
0,"Today is ‘Random Act of Kindness Day’.

Sports mentor Aimee presented Liz from Jigsaw NI with a bouquet of flowers as we facilitated her group of elderly on our active ageing programme.

Thank you for everything you do Liz. Keep up the good work.

#RandomActsofKindnessDay https://t.co/nsQhQHlH32"
6,"This week alone we have worked with:
- 548 p7 pupils across 12 primary schools delivering our Honour Roll programme
- 63 young people aged 14-18 participating in 4 of our eHoops personal development programme
- 93 aged 50+ taking part in our active ageing 'Live Long' programme https://t.co/e3XpDLMLfT"
10,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC2O5FF

The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/Eqy5zgEO2t"
13,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC2O5FF

The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/Ky40GTyZuA"
14,"🔊 Active Ageing Hour! Get active at 11am on the Thursday 16th December: https://t.co/gDHEC35H4f
The programme aims to provide a safe environment with dedicated hours for older adults to exercise in the local community, leisure centre or gym.

@irelandactive #activeageing https://t.co/UbFbFZjAOi"
23,"Whilst the adrenaline kicked in as they got closer to the Oval, it was with the help of friends and colleagues who spurred them on from Carrick, thanks to board members Catherine (and her two dogs) and Deirdre, Joe and the group from our Active Ageing programme https://t.co/mU6Gh74daD"
